dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,family,p_fdr,sig
Neck_mov_Z_deg_s_peak,4.49580882030109,2.29644493557484,115.757653996668,1.95772550460728,0.0526687176329213,20.352486421335,16.9638557195906,16.4646241283008,9.60213384187544,52,72,True,운동학,0.09159776979638488,
GRF_X_peak,1.78312858403644,11.3183420021394,100.552210698217,0.157543267706471,0.875132640287287,239.870050776638,206.067780333646,295.269143622315,233.187872161414,52,73,True,운동역학,0.8959691317226987,
GRF_X_range,13.6140225859191,20.7349583281352,100.636519599852,0.656573423996046,0.512953816442448,377.837969141007,329.729252161393,463.687672643331,374.238587967562,52,73,True,운동역학,0.5804477396585596,
GRF_Y_peak,26.5423162863923,3.58418353309339,111.798567088521,7.40540099058055,2.6368685582527298e-11,51.7980962202739,29.2792175257215,26.3189804360253,15.6111266082314,52,73,True,운동역학,1.889755800081123e-10,***
GRF_Y_range,39.2968768516343,4.48390565045974,108.678727654085,8.76398388257904,2.83878142384099e-14,71.4722100346419,38.0871732338238,35.1316893297119,20.8047164187837,52,73,True,운동역학,6.103380061258129e-13,***
GRF_Z_peak,23.3563422682385,17.3891621570015,102.64304427957,1.34315512486232,0.182184073140625,171.527959436709,142.513864925545,174.728860747728,126.24829488802,52,73,True,운동역학,0.29007543269945874,
GRF_Z_range,25.3943861645967,19.1977496496026,101.328980181883,1.3227793167478,0.188886328269415,269.385866235767,178.055060428877,296.212904348109,200.448287062205,52,73,True,운동역학,0.29007543269945874,
Hip_stance_ref_X_Nm_peak,-43.5678259800419,15.1438141888732,98.9471433823577,-2.87693875774393,0.0049189999076027,81.8799730705602,72.3456252734769,155.927777397763,139.388703150264,52,72,True,운동역학,0.010575849801345806,*
Hip_stance_ref_Y_Nm_peak,41.5892616433797,4.83008069717712,104.842194632888,8.6104693173524,7.95014813948218e-14,90.7182712735884,36.1982735517955,45.7571991770065,37.9067738595305,52,72,True,운동역학,1.1395212333257791e-12,***
Hip_stance_ref_Z_Nm_peak,1.1360568400074,2.41981816475807,98.7495776684491,0.469480251265485,0.639761392749297,20.6088417609474,14.4139441186083,22.1954400326823,22.8000924613898,52,72,True,운동역학,0.6877434972054943,
