subject,velocity,trial,column,count,nan_count,min,max,range,std,max_abs_diff,flag_jump_gt_180,flag_range_gt_200,flag_range_gt_300
강비은,30,3,Hip_R_X_deg,238,0,-0.36534681870398167,8.124259862051817,8.489606680755799,2.980854856623031,0.5198593581080111,false,false,false
강비은,30,10,Ankle_L_X_deg,238,0,-0.37888105198777394,8.573589619573216,8.95247067156099,3.4609646489660437,0.4964518729355536,false,false,false
강비은,30,1,Knee_R_Y_deg,236,0,-5.735549688339233,0.08242392539978027,5.817973613739014,1.9598947189627292,0.4893054962158203,false,false,false
강비은,30,9,Knee_R_X_deg,237,0,-9.250129248373089,0.03656691182554406,9.286696160198632,2.8966171476016185,0.4888985908480188,false,false,false
강비은,30,11,Ankle_L_X_deg,234,0,-0.44797754014829727,14.079371919069997,14.527349459218295,4.653100709188921,0.4862070160673575,false,false,false
강비은,30,4,Hip_R_X_deg,238,0,-0.7867037499230083,5.093010809342754,5.8797145592657625,1.2728886512324513,0.4819074119848352,false,false,false
강비은,30,7,Ankle_R_X_deg,240,0,-3.067998031764667,6.473760443930691,9.541758475695358,2.423760054789045,0.4799458670325718,false,false,false
강비은,30,4,Knee_L_Z_deg,238,0,-10.913575503509385,13.789655464880449,24.703230968389832,8.305939946206088,0.47245528394718317,false,false,false
강비은,30,9,Hip_L_Z_deg,237,0,-4.319899135868073,2.714954731633406,7.034853867501479,1.9899667292779493,0.471192125837554,false,false,false
강비은,30,9,Knee_L_Z_deg,237,0,-6.436684042681746,2.457041879375258,8.893725922057005,2.947332596140708,0.46474143905330045,false,false,false
강비은,30,11,Knee_R_Y_deg,234,0,-2.1806397438049316,3.666350483894348,5.84699022769928,1.3699066459051912,0.46340321004390717,false,false,false
강비은,30,1,Ankle_R_Y_deg,236,0,-0.14501619338989258,4.300053596496582,4.445069789886475,1.4565346396799965,0.4600968360900879,false,false,false
강비은,30,3,Hip_L_X_deg,238,0,-0.3416682603988406,6.719909789447369,7.06157804984621,2.0818526272465236,0.4571189479395663,false,false,false
강비은,30,2,Ankle_R_X_deg,238,0,-1.179502593005152,3.3754846104621787,4.554987203467331,1.2670148379527189,0.4498418082657407,false,false,false
강비은,30,9,Ankle_R_X_deg,237,0,-6.0670303628192475,1.0639983311681236,7.131028693987371,2.0231233263678425,0.44588990350065316,false,false,false
강비은,30,2,Hip_L_Z_deg,238,0,-3.791908971161692,2.3085381988935483,6.10044717005524,1.3882166119276165,0.445077324432833,false,false,false
강비은,30,8,Ankle_L_X_deg,238,0,-1.6370923971106255,6.530370545875636,8.167462942986262,2.169860598990965,0.44228228295841765,false,false,false
강비은,30,10,Hip_R_X_deg,238,0,-0.31341347534979036,7.004058465524595,7.317471940874386,2.5863699205247155,0.4412729090651375,false,false,false
강비은,30,3,Ankle_R_X_deg,238,0,-1.1030537797290796,6.233735643665394,7.336789423394474,2.2201061521475194,0.4359001115092749,false,false,false
강비은,30,7,Knee_R_Y_deg,240,0,-3.6190011501312256,0.08417057991027832,3.703171730041504,1.1583126116190237,0.4318099021911621,false,false,false
강비은,30,2,Knee_R_Y_deg,238,0,-7.053307771682739,0.1548151969909668,7.208122968673706,1.7950129328951006,0.4279627799987793,false,false,false
강비은,30,2,Knee_L_Y_deg,238,0,-3.301313638687134,0.2556800842285156,3.5569937229156494,1.1875830087520074,0.42581605911254883,false,false,false
강비은,30,5,Ankle_R_Y_deg,238,0,-3.9495556354522705,3.0866665840148926,7.036222219467163,1.6293926506623384,0.4211430549621582,false,false,false
강비은,30,9,Ankle_L_X_deg,237,0,-0.9715658080171645,9.721637483903168,10.693203291920332,3.122458395737258,0.41934842871621836,false,false,false
강비은,30,11,Hip_R_Y_deg,234,0,-6.73448520898819,0.05190920829772949,6.786394417285919,2.3514675579957043,0.40900373458862305,false,false,false
강비은,30,8,Knee_R_Y_deg,238,0,-3.7759310007095337,0.08202612400054932,3.857957124710083,1.4958293948383552,0.4080383777618408,false,false,false
강비은,30,8,Knee_L_Z_deg,238,0,-2.908157091034383,1.3170431795387554,4.225200270573138,1.0352432645282261,0.4069127886717414,false,false,false
강비은,30,8,Ankle_R_X_deg,238,0,-1.8484120467284733,1.3016214661665133,3.1500335128949866,0.73636694612555,0.40522167652192786,false,false,false
강비은,30,10,Hip_L_X_deg,238,0,-0.2749680480590797,6.528929162517354,6.803897210576434,2.2924986499738926,0.4000936985591306,false,false,false
강비은,30,11,Ankle_R_X_deg,234,0,-4.227235346780685,5.42579929021205,9.653034636992736,2.288904578451516,0.39129870942482725,false,false,false
강비은,30,9,Hip_R_Z_deg,237,0,-0.6085826616528287,5.699714315200184,6.308296976853013,2.168151410896376,0.3877925278639367,false,false,false
강비은,30,1,Hip_L_Y_deg,236,0,-3.0295894145965576,2.2918245792388916,5.321413993835449,1.0044937613497709,0.38766397535800934,false,false,false
강비은,30,11,Hip_L_X_deg,234,0,-0.24276968253799502,6.049561727130115,6.29233140966811,2.4926377677550042,0.3809657537885087,false,false,false
강비은,30,3,Knee_R_Y_deg,238,0,-3.5018270015716553,0.037133216857910156,3.5389602184295654,1.3779927050249527,0.3802304267883301,false,false,false
강비은,30,7,Knee_L_Y_deg,240,0,-2.8822457790374756,0.5148830413818359,3.3971288204193115,1.0058265042142422,0.37610960006713867,false,false,false
강비은,30,8,Hip_L_X_deg,238,0,-0.16733451202343552,5.084288657772648,5.251623169796083,1.1612833700307315,0.3690470736868363,false,false,false
강비은,30,6,Knee_R_X_deg,238,0,-6.009632441242221,0.2867981491449543,6.296430590387176,2.1657771047002896,0.36274494351703,false,false,false
강비은,30,7,Ankle_R_Y_deg,240,0,-2.5352816581726074,3.2569894790649414,5.792271137237549,1.1742351823032493,0.3611421585083008,false,false,false
강비은,30,1,Ankle_L_X_deg,236,0,-1.1667576734573193,4.275302909786356,5.442060583243675,1.343078156290255,0.35876358356114757,false,false,false
강비은,30,4,Hip_L_Z_deg,238,0,-12.571236161531857,8.154064886599047,20.725301048130902,7.619786261848799,0.35565904913996516,false,false,false
강비은,30,5,Knee_R_Y_deg,238,0,-3.3779420852661133,0.19796109199523926,3.5759031772613525,1.2098125378811986,0.3484358787536621,false,false,false
강비은,30,2,Hip_R_Z_deg,238,0,-8.466528858932499,3.585559884990616,12.052088743923115,3.698756380973892,0.34792812877315704,false,false,false
강비은,30,4,Knee_L_Y_deg,238,0,-3.647153377532959,1.798152208328247,5.445305585861206,1.9883213748125228,0.3395681381225586,false,false,false
강비은,30,7,Knee_L_Z_deg,240,0,-3.775564648642966,1.052738764321358,4.828303412964324,1.4955235135128189,0.32344873078783465,false,false,false
강비은,30,8,Knee_R_Z_deg,238,0,-5.086318931503435,0.2569969665791323,5.343315898082567,1.9958735682853437,0.32008486262159863,false,false,false
강비은,30,10,Knee_L_Y_deg,238,0,-4.4489336013793945,0.024367332458496094,4.473300933837891,1.9011572010140525,0.3127312660217285,false,false,false
강비은,30,9,Hip_R_X_deg,237,0,-0.21375418517013323,10.868676828113484,11.082431013283617,4.004289342138334,0.3114532110579944,false,false,false
강비은,30,1,Knee_L_Y_deg,236,0,-3.1375620365142822,0.08422350883483887,3.221785545349121,1.2867792187500966,0.3002009391784668,false,false,false
강비은,30,1,Hip_R_Y_deg,236,0,-3.084225058555603,3.5207122564315796,6.604937314987183,1.6888926652855594,0.29979634284973145,false,false,false
강비은,30,2,Knee_L_Z_deg,238,0,-3.013634848613245,0.5994472836379376,3.613082132251183,0.9823294006892991,0.29808994594686666,false,false,false
강비은,30,5,Knee_L_Y_deg,238,0,-2.5033955574035645,0.7576653957366943,3.261060953140259,1.1383788985680585,0.2977738380432129,false,false,false
강비은,30,4,Knee_R_Y_deg,238,0,-2.7202985286712646,0.018984079360961914,2.7392826080322266,1.0430576625703727,0.29718494415283203,false,false,false
강비은,30,9,Knee_L_Y_deg,237,0,-5.643743515014648,0.022825002670288086,5.6665685176849365,1.8249067284929101,0.29470109939575195,false,false,false
강비은,30,2,Hip_L_Y_deg,238,0,-1.6182763576507568,3.1900099515914917,4.8082863092422485,1.0150718617468895,0.28975486755371094,false,false,false
강비은,30,4,Hip_R_Z_deg,238,0,-0.01408385006856605,5.275211228094724,5.28929507816329,1.8458102005577426,0.286196025280935,false,false,false
강비은,30,6,Ankle_L_X_deg,238,0,-0.10047912632346923,5.068621057590287,5.169100183913756,1.9119701186415212,0.2844590227976367,false,false,false
강비은,30,11,Knee_L_Y_deg,234,0,-5.692118406295776,0.03477191925048828,5.726890325546265,1.9818255391867297,0.28397274017333984,false,false,false
강비은,30,9,Hip_L_X_deg,237,0,-0.6353681022566828,6.4701331865945875,7.10550128885127,2.4189061112692767,0.28354676565661663,false,false,false
강비은,30,2,Hip_R_Y_deg,238,0,-4.231498718261719,2.4274295568466187,6.658928275108337,1.5725672803723048,0.28058910369873047,false,false,false
강비은,30,5,Ankle_R_X_deg,238,0,-1.6730520624302732,3.270289878847051,4.943341941277325,0.782815122771083,0.27871696813977165,false,false,false
강비은,30,7,Ankle_L_Y_deg,240,0,-0.7529745101928711,2.365959644317627,3.118934154510498,0.9356103292995517,0.274810791015625,false,false,false
강비은,30,5,Hip_L_Z_deg,238,0,-4.83266726351373,2.212734123613542,7.045401387127272,2.31799558201429,0.27439303150833005,false,false,false
강비은,30,6,Hip_L_X_deg,238,0,-1.2995322820541375,4.65687334875982,5.956405630813958,1.7101406326044024,0.2562721127534644,false,false,false
강비은,30,3,Hip_L_Y_deg,238,0,-0.5398313999176025,3.0678528547286987,3.6076842546463013,0.9311429090390803,0.2539825439453125,false,false,false
강비은,30,2,Ankle_L_Y_deg,238,0,-0.7121615409851074,1.2911481857299805,2.003309726715088,0.5370921705473365,0.2404189109802246,false,false,false
강비은,30,11,Hip_L_Y_deg,234,0,-0.5010994672775269,3.630013108253479,4.131112575531006,1.2350170718281503,0.23900675773620605,false,false,false
강비은,30,4,Ankle_L_Y_deg,238,0,-0.6002235412597656,1.3505096435546875,1.9507331848144531,0.6038150455248127,0.23881053924560547,false,false,false
강비은,30,5,Knee_R_Z_deg,238,0,-1.3968206428181507,3.5459507642200645,4.942771407038215,1.0520339084211352,0.23851788977966137,false,false,false
강비은,30,3,Hip_R_Y_deg,238,0,-0.5263144969940186,2.007259875535965,2.5335743725299835,0.5929866171248039,0.232613205909729,false,false,false
강비은,30,1,Ankle_L_Y_deg,236,0,-1.6493968963623047,2.9291601181030273,4.578557014465332,1.2221812360743158,0.23221588134765625,false,false,false
